,title,revenue,user_rating,votes,year,source,genre,director
56,76 Days,0.64,84%,Fewer than 50 Ratings,2020,RT,Documentary,Weixi Chen
415,The Public Enemy,13.19,84%,"5,000+ Ratings",1931,RT,Crime,William A. Wellman
402,The Adventures of Robin Hood,74.12,89%,"25,000+ Ratings",1938,RT,Adventure,William Keighley
302,The Many Adventures of Winnie the Pooh,69.6,88%,"25,000+ Ratings",1977,RT,Family,Wolfgang Reithermann
304,Love and Death,104.79,90%,"10,000+ Ratings",1975,RT,Comedy,Woody Allen
291,Broadway Danny Rose,40.55,84%,"5,000+ Ratings",1984,RT,Comedy,Woody Allen
307,Sleeper (1973 film),102.2,81%,"25,000+ Ratings",1973,RT,Comedy,Woody Allen
100,Horror Noire,1.51,67%,50+ Ratings,2019,RT,Documentary,Xavier Burgin
143,Strong Island (film),0.01,56%,500+ Ratings,2017,RT,Documentary,Yance Ford
164,Seoul Station (film),2.57,38%,250+ Ratings,2016,RT,Horror,Yeon Sang-ho
110,The Spy Gone North,45.73,94%,100+ Ratings,2018,RT,Drama,Yoon Jong-bin
